INFO 2026-02-08 09:53:33,815 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:17:56,278 log "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:18:12,193 log "POST /admin/core/galleryitem/add/ HTTP/1.1" 200 15865
INFO 2026-02-08 10:18:12,238 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:18:19,501 log "POST /admin/core/galleryitem/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:18:19,522 log "GET /admin/core/galleryitem/ HTTP/1.1" 200 17221
INFO 2026-02-08 10:18:19,559 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,560 log "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,564 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:18:19,565 log "GET /media/gallery/gallery4.jpeg HTTP/1.1" 200 114032
INFO 2026-02-08 10:18:19,607 log "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,609 log "GET /media/gallery/gallery3.jpeg HTTP/1.1" 200 125064
INFO 2026-02-08 10:18:19,619 log "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,621 log "GET /media/gallery/gallery2.jpeg HTTP/1.1" 200 53504
INFO 2026-02-08 10:18:19,623 log "GET /media/gallery/gallery1.jpeg HTTP/1.1" 200 98168
INFO 2026-02-08 10:18:19,632 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,638 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:18:19,640 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,445 log "GET /admin/core/admission/ HTTP/1.1" 200 13399
INFO 2026-02-08 10:24:46,487 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,492 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,495 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,506 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,507 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,508 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,510 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,512 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,514 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,516 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,520 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,521 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,524 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,524 log "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,525 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,529 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:24:46,834 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,834 log "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,856 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,858 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:24:46,859 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:26:43,162 log "GET /admin/core/contentpage/ HTTP/1.1" 200 16219
INFO 2026-02-08 10:26:43,230 log "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:26:43,254 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
